,Stanford_timestamp,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,Operator_Timestamp
352,2021-08-03 17:30:53+00:00,667.8504121106893,628.3003739984359,710.6535919151784,468.1204897,625.5546371,310.6863423,2,4.0,218645.0,True,True,666.1186132221486,626.0302010974538,709.5998706157776,666.3211804317239,626.5097072027346,708.5576169741651,2021-08-03 17:31:16+00:00
353,2021-08-03 17:30:53+00:00,667.8026051019714,627.8162182585409,710.4245442998103,296.9635503,344.806813,249.1202876,3,4.0,218645.0,True,True,665.9599065538803,626.2173998607815,708.8194803139262,666.9009861549131,627.6205233545312,710.0921491309595,2021-08-03 17:31:16+00:00
354,2021-08-03 17:32:59+00:00,588.3380271633308,552.5771902756508,626.7762288868583,261.6131714,418.2050187,105.0213241,1,4.0,218645.0,True,False,660.0621227966047,620.2745065500152,702.9530666742392,550.8005262823237,517.2188599511397,586.859614326977,2021-08-03 17:33:05+00:00
355,2021-08-03 17:32:59+00:00,588.3219495487459,552.9103345641356,627.7379059578911,751.2844079,1080.28745,422.281366,2,4.0,218645.0,True,False,660.0449252086783,620.4329641906928,702.2626239483569,550.7807731323761,517.2985845735535,586.9913515415271,2021-08-03 17:33:05+00:00
356,2021-08-03 17:32:59+00:00,588.0962773138818,552.552898167927,625.8864996868286,1141.938645,1342.358174,941.5191163999999,3,4.0,218645.0,True,False,660.1205476160939,620.6639364826578,703.2633241999205,550.8157760387911,517.2325793168856,586.9573470328104,2021-08-03 17:33:05+00:00
357,2021-08-03 17:34:38+00:00,656.6008434638986,616.792043196888,699.7300674470671,116.3347727,178.9235297,53.74601566,1,4.0,218645.0,True,True,653.9103529487078,614.3551345818425,696.7700774890956,656.2603445760358,616.698937154221,699.2078410283626,2021-08-03 17:34:57+00:00
358,2021-08-03 17:34:38+00:00,656.8768573301376,616.9849535505118,698.6081191476337,351.5316909,460.0769029,242.98647889999998,2,4.0,218645.0,True,True,654.1278183985024,614.9018155852705,696.1299151138223,656.1582993343286,616.8714675381851,699.8963429820157,2021-08-03 17:34:57+00:00
359,2021-08-03 17:34:38+00:00,656.7133858802649,617.5153562092958,700.5557400800063,584.0543967,617.0904885,551.0183049,3,4.0,218645.0,True,True,654.0120868878663,615.3512850328756,697.693510939726,655.8342680596376,616.779554322001,698.3300610555175,2021-08-03 17:34:57+00:00
360,2021-08-03 17:37:07+00:00,0.0,0.0,0.0,,#VALUE!,#VALUE!,1,2.0,162928.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-03 17:37:24+00:00
361,2021-08-03 17:39:24+00:00,0.0,0.0,0.0,,#VALUE!,#VALUE!,1,2.0,162928.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-03 17:39:42+00:00
362,2021-08-03 17:41:44+00:00,0.0,0.0,0.0,,#VALUE!,#VALUE!,1,2.0,162928.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-03 17:41:59+00:00
363,2021-08-03 17:44:03+00:00,300.4385437220586,278.6367577252119,323.50174692825465,,#VALUE!,#VALUE!,1,2.0,162928.0,False,True,348.41734261933715,324.72381143928726,373.5795192442951,347.8324662842331,324.3665890566894,373.13502120715026,2021-08-03 17:44:17+00:00
364,2021-08-03 17:46:18+00:00,364.39407176407946,339.3051584275302,391.27621228159836,173.3747044,255.3300918,91.41931696,1,2.0,162928.0,True,True,368.4041535703248,343.4551969074454,395.26794732761124,366.6646972425762,341.5456785163268,392.98371723916557,2021-08-03 17:46:36+00:00
365,2021-08-03 17:46:18+00:00,364.34506061630054,339.50887776930875,391.12258284668917,250.0320758,304.42060160000005,195.6435501,2,2.0,162928.0,True,True,368.26385291161637,343.22984747891246,394.5800333481955,366.7207314430492,342.427800392403,393.1421633760231,2021-08-03 17:46:36+00:00
366,2021-08-03 17:46:18+00:00,364.2629118024888,339.7278564934545,390.32455912760696,233.49314669999998,267.4675123,199.5187811,3,2.0,162928.0,True,True,368.3427459042759,343.74078696947214,395.43662649646126,366.60696312640795,342.0672856010057,392.9842161329445,2021-08-03 17:46:36+00:00
367,2021-08-03 17:48:33+00:00,376.1069638849836,351.29894387369404,402.4558180235287,143.46114939999998,211.2871664,75.63513241,1,2.0,162928.0,True,True,378.05027465198697,352.7168178850238,404.8126200551262,377.0100319313042,352.06896228588954,404.36444889821064,2021-08-03 17:48:51+00:00
368,2021-08-03 17:48:33+00:00,375.97318168699,350.9056042614988,402.2634006331629,231.45879359999998,295.1604386,167.7571486,2,2.0,162928.0,True,True,377.5769106703989,352.09647250661925,404.25842856246453,376.5852812624647,350.4583950402038,403.8348089862946,2021-08-03 17:48:51+00:00
