,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:26:38+00:00,-16.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:39+00:00,-17.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:40+00:00,-17.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:41+00:00,-17.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:42+00:00,-16.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:43+00:00,-16.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:44+00:00,-16.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:45+00:00,-16.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:46+00:00,-17.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:47+00:00,-17.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:48+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:49+00:00,-16.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:50+00:00,-16.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:51+00:00,-16.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:52+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:53+00:00,-16.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:54+00:00,-17.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:55+00:00,-16.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:56+00:00,-17.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:57+00:00,-17.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:58+00:00,-17.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:59+00:00,-17.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:00+00:00,-17.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:01+00:00,-17.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:02+00:00,-17.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:03+00:00,-17.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
