Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,Satellite,Team,UnblindingStage,cr_quad_scfh,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-21 18:10:37+00:00,490,2780,2450,3170,Min/max,4.1 [3.9-4.4] ,221,,2021-10-21 18:10:37+00:00,Landsat 8,SRON,2,231569,8,218645,231569,231569,4182,3942,4447,4164,3925,4403
2021-10-22 18:34:54+00:00,330,1160,570,2590,Min/max,1.4 [0.6-3.2],92,,2021-10-22 18:34:54+00:00,Sentinel-2,SRON,1,92870.1,4,218645,93016,93858,1676,1594,1767,1691,1598,1794
2021-10-22 18:34:54+00:00,330,1500,1203,1790,Min/max,1.9 [1.4-2.3],113,,2021-10-22 18:34:54+00:00,Sentinel-2,SRON,2,92870.1,4,218645,93016,93858,1675,1583,1758,1692,1603,1793
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,FR,FR,,2021-10-24 18:25:02+00:00,Sentinel-2,SRON,1,225354,8,218645,221737,219168,3998,3778,4224,3952,3749,4174
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,FR,FR,,2021-10-24 18:25:02+00:00,Sentinel-2,SRON,2,225354,8,218645,221737,219168,4005,3775,4231,3935,3736,4125
2021-10-27 18:34:57+00:00,260,2250,1440,2870,Min/max,3.8 [2.6-4.4],184,,2021-10-27 18:34:57+00:00,Sentinel-2,SRON,1,195078,8,218645,194121,191475,3493,3300,3680,3450,3242,3644
2021-10-27 18:34:57+00:00,260,2380,1940,2840,Min/max,4.2 [3.9-4.4] ,221,,2021-10-27 18:34:57+00:00,Sentinel-2,SRON,2,195078,8,218645,194121,191475,3496,3315,3702,3458,3280,3657
2021-10-28 18:16:48+00:00,FR,FR,FR,FR,FR,FR,FR,,2021-10-28 18:16:48+00:00,Landsat 8,SRON,1,116668,8,218645,115474,114725,2078,1955,2207,2070,1951,2188
2021-10-28 18:16:48+00:00,FR,FR,FR,FR,FR,FR,FR,,2021-10-28 18:16:48+00:00,Landsat 8,SRON,2,116668,8,218645,115474,114725,2079,1952,2200,2070,1946,2187
2021-10-29 18:24:58+00:00,0,0,0,0,0,0,0,,2021-10-29 18:24:58+00:00,Sentinel-2,SRON,1,281513,8,218645,278775,262686,5006,4743,5265,4736,4492,5019
2021-10-29 18:24:58+00:00,0,0,0,0,0,0,0,,2021-10-29 18:24:58+00:00,Sentinel-2,SRON,2,281513,8,218645,278775,262686,5018,4730,5323,4734,4503,4998
2021-11-01 18:35:00+00:00,FR,FR,FR,FR,FR,,,,2021-11-01 18:35:00+00:00,Sentinel-2,SRON,1,0,4,308188,0,0,0,0,0,0,0,0
2021-11-01 18:35:00+00:00,FR,FR,FR,FR,FR,,,,2021-11-01 18:35:00+00:00,Sentinel-2,SRON,2,0,4,308188,0,0,0,0,0,0,0,0
2021-11-03 18:25:01+00:00,0,0,0,0,0,0,0,,2021-11-03 18:25:01+00:00,Sentinel-2,SRON,1,76596.4,4,308188,77025,77539,1387,1309,1461,1398,1321,1480
2021-11-03 18:25:01+00:00,0,0,0,0,0,0,0,,2021-11-03 18:25:01+00:00,Sentinel-2,SRON,2,76596.4,4,308188,77025,77539,1386,1308,1463,1397,1326,1465
2021-10-16 18:36:26+00:00,445,2494,,,966,4.144341036,194.6463,,2021-10-16 18:36:26+00:00,PRISMA,UPV,1,129412.8,8,218645,130048,131662,2348,2196,2490,2376,2237,2517
2021-10-16 18:36:26+00:00,445,3778,,,1614,6.943938356,,,2021-10-16 18:36:26+00:00,PRISMA,UPV,2,129412.8,8,218645,130048,131662,2349,2208,2489,2374,2244,2512
2021-10-21 18:23:12+00:00,1004.9,4985,,,1691,2.736019525,169.1555,,2021-10-21 18:23:12+00:00,PRISMA,UPV,1,248685,8,218645,248277,239923,4478,4236,4737,4311,4078,4553
2021-10-21 18:23:12+00:00,1004.9,6469,,,2434,3.935766667,,,2021-10-21 18:23:12+00:00,PRISMA,UPV,2,248685,8,218645,248277,239923,4466,4242,4713,4327,4092,4579
2021-10-27 18:26:30+00:00,1020.9,7226,,,2890,5.155525006,183.9472,,2021-10-27 18:26:30+00:00,Sentinel-2,UPV,1,188145,8,218645,190817,192626,3440,3234,3629,3465,3278,3678
2021-10-19 18:24:58+00:00,170.88,5468,,,1446,1.481,-96.7,,2021-10-19 18:24:58+00:00,Sentinel-2,UPV,1,409664.08,8,218645,398438,382613,7184,6784,7560,6894,6537,7280
2021-10-19 18:24:58+00:00,170.88,7234,18:24:58.763092Z,276.5,2331,2.4,,,2021-10-19 18:24:58+00:00,Sentinel-2,UPV,2,409664.08,8,218645,398438,382613,7169,6796,7596,6900,6508,7311
2021-10-21 18:10:37+00:00,278.21,3032,,,1012,2.606,-86.2,,2021-10-21 18:10:37+00:00,Landsat 8,UPV,1,231569,8,218645,231569,231569,4189,3935,4444,4169,3926,4395
2021-10-21 18:10:37+00:00,278.21,4085,18:10:37.5283260Z,178.88,1531,3.98,,,2021-10-21 18:10:37+00:00,Landsat 8,UPV,2,231569,8,218645,231569,231569,4189,3948,4428,4171,3916,4419
2021-10-22 18:34:54+00:00,164.92,3005,,,1011,2.371,8.6,,2021-10-22 18:34:54+00:00,Sentinel-2,UPV,1,92870.1,4,218645,93016,93858,1673,1584,1765,1691,1599,1788
2021-10-22 18:34:54+00:00,164.92,2773,18:34:54.542039Z,111.71,893,2.08,,,2021-10-22 18:34:54+00:00,Sentinel-2,UPV,2,92870.1,4,218645,93016,93858,1676,1584,1762,1692,1598,1792
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,,,,2021-10-24 18:25:02+00:00,Sentinel-2,UPV,1,225354,8,218645,221737,219168,3994,3800,4227,3952,3730,4188
2021-10-24 18:25:02+00:00,,FR,FR,FR,FR,,,,2021-10-24 18:25:02+00:00,Sentinel-2,UPV,2,225354,8,218645,221737,219168,3987,3776,4222,3944,3719,4186
2021-10-27 18:34:57+00:00,184.39,5333,,,2108,4.881,-97.5,,2021-10-27 18:34:57+00:00,Sentinel-2,UPV,1,195078,8,218645,194121,191475,3492,3293,3675,3446,3267,3652
2021-10-27 18:34:57+00:00,184.39,4427,18:34:57.856604Z,132.57,1651,3.82,,,2021-10-27 18:34:57+00:00,Sentinel-2,UPV,2,195078,8,218645,194121,191475,3491,3308,3712,3453,3256,3664
2021-10-28 18:16:48+00:00,120,1625,,,692,4.419,-103.5,,2021-10-28 18:16:48+00:00,Landsat 8,UPV,1,116668,8,218645,115474,114725,2078,1956,2207,2068,1943,2200
2021-10-28 18:16:48+00:00,120,1735,18:16:48.2627780Z,28.38,710,4.81,,,2021-10-28 18:16:48+00:00,Landsat 8,UPV,2,116668,8,218645,115474,114725,2079,1956,2210,2069,1959,2188
2021-10-29 18:24:58+00:00,,0,,,,2.223,-89.5,,2021-10-29 18:24:58+00:00,Sentinel-2,UPV,1,281513,8,218645,278775,262686,5027,4755,5315,4728,4470,5003
2021-10-29 18:24:58+00:00,,0,,,,,,,2021-10-29 18:24:58+00:00,Sentinel-2,UPV,2,281513,8,218645,278775,262686,5018,4738,5313,4734,4473,5021
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,2021-11-01 18:35:00+00:00,Sentinel-2,UPV,1,0,4,308188,0,0,0,0,0,0,0,0
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,2021-11-01 18:35:00+00:00,Sentinel-2,UPV,2,0,4,308188,0,0,0,0,0,0,0,0
2021-11-03 18:25:01+00:00,111.35,1191,,,458,3.024,-87.8,,2021-11-03 18:25:01+00:00,Sentinel-2,UPV,1,76596.4,4,308188,77025,77539,1387,1311,1469,1397,1327,1474
2021-11-03 18:25:01+00:00,111.35,1344,18:25:01.184114Z,25.45,539,3.59,,,2021-11-03 18:25:01+00:00,Sentinel-2,UPV,2,76596.4,4,308188,77025,77539,1390,1315,1465,1396,1321,1477
2021-10-23 18:40:53+00:00,277,4069,,,1515,3.771272995,47.0416,,2021-10-23 18:40:53+00:00,WV3,UPV,1,218027,8,218645,219473,222887,3949,3740,4182,4012,3787,4223
2021-10-23 18:40:53+00:00,277,4790,,,1876,4.673416667,,,2021-10-23 18:40:53+00:00,WV3,UPV,2,218027,8,218645,219473,222887,3956,3745,4196,4010,3792,4245
