datetime,channel_1,channel_2,channel_3,channel_4,,
10/21/21 18:23:57,246795,>Range,>Range,>Range,,
10/21/21 18:23:58,247208,>Range,>Range,>Range,,
10/21/21 18:23:59,247301,>Range,>Range,>Range,,
10/21/21 18:24:00,246898,>Range,>Range,>Range,,
10/21/21 18:24:01,246898,>Range,>Range,>Range,,
10/21/21 18:24:02,246981,>Range,>Range,>Range,,
10/21/21 18:24:03,247063,>Range,>Range,>Range,,
10/21/21 18:24:04,246690,>Range,>Range,>Range,,
10/21/21 18:24:05,246287,>Range,>Range,>Range,,
10/21/21 18:24:06,246130,>Range,>Range,>Range,,
10/21/21 18:24:07,245835,>Range,>Range,>Range,,
10/21/21 18:24:08,245763,>Range,>Range,>Range,,
10/21/21 18:24:09,246115,>Range,>Range,>Range,,
10/21/21 18:24:10,246638,>Range,>Range,>Range,,
10/21/21 18:24:11,246623,>Range,>Range,>Range,,
10/21/21 18:24:12,246545,>Range,>Range,>Range,,
10/21/21 18:24:13,246270,>Range,>Range,>Range,,
10/21/21 18:24:14,246188,>Range,>Range,>Range,,
10/21/21 18:24:15,246308,>Range,>Range,>Range,,
10/21/21 18:24:16,246368,>Range,>Range,>Range,,
10/21/21 18:24:17,246524,>Range,>Range,>Range,,
10/21/21 18:24:18,246831,>Range,>Range,>Range,,
10/21/21 18:24:19,246924,>Range,>Range,>Range,,
10/21/21 18:24:20,246875,>Range,>Range,>Range,,
10/21/21 18:24:21,246709,>Range,>Range,>Range,,
10/21/21 18:24:22,246646,>Range,>Range,>Range,,
10/21/21 18:24:23,246359,>Range,>Range,>Range,,
10/21/21 18:24:24,246146,>Range,>Range,>Range,,
10/21/21 18:24:25,246080,>Range,>Range,>Range,,
10/21/21 18:24:26,246026,>Range,>Range,>Range,,
10/21/21 18:24:27,245950,>Range,>Range,>Range,,
10/21/21 18:24:28,245831,>Range,>Range,>Range,,
10/21/21 18:24:29,245846,>Range,>Range,>Range,,
10/21/21 18:24:30,245983,>Range,>Range,>Range,,
10/21/21 18:24:31,245862,>Range,>Range,>Range,,
10/21/21 18:24:32,245626,>Range,>Range,>Range,,
10/21/21 18:24:33,245488,>Range,>Range,>Range,,
10/21/21 18:24:34,245665,>Range,>Range,>Range,,
10/21/21 18:24:35,245532,>Range,>Range,>Range,,
10/21/21 18:24:36,245577,>Range,>Range,>Range,,
10/21/21 18:24:37,245792,>Range,>Range,>Range,,
10/21/21 18:24:38,245504,>Range,>Range,>Range,,
10/21/21 18:24:39,245377,>Range,>Range,>Range,,
10/21/21 18:24:40,245177,>Range,>Range,>Range,,
10/21/21 18:24:41,244939,>Range,>Range,>Range,,
10/21/21 18:24:42,244984,>Range,>Range,>Range,,
10/21/21 18:24:43,245738,>Range,>Range,>Range,,
10/21/21 18:24:44,246309,>Range,>Range,>Range,,
10/21/21 18:24:45,246084,>Range,>Range,>Range,,
10/21/21 18:24:46,245757,>Range,>Range,>Range,,
10/21/21 18:24:47,245674,>Range,>Range,>Range,,
10/21/21 18:24:48,245632,>Range,>Range,>Range,,
