timestamp,g per s
10/20/2021 17:50:49,3.4918
10/20/2021 17:50:50,3.4925
10/20/2021 17:50:51,3.4928
10/20/2021 17:50:52,3.4925
10/20/2021 17:50:53,3.4916
10/20/2021 17:50:54,3.4893
10/20/2021 17:50:55,3.4874
10/20/2021 17:50:56,3.4855
10/20/2021 17:50:57,3.4836
10/20/2021 17:50:58,3.483
10/20/2021 17:50:59,3.4828
10/20/2021 17:51:00,3.4822
10/20/2021 17:51:01,3.4819
10/20/2021 17:51:02,3.4819
10/20/2021 17:51:03,3.4817
10/20/2021 17:51:04,3.4811
10/20/2021 17:51:05,3.4805
10/20/2021 17:51:06,3.4798
10/20/2021 17:51:07,3.479
10/20/2021 17:51:08,3.4783
10/20/2021 17:51:09,3.4783
10/20/2021 17:51:10,3.4785
10/20/2021 17:51:11,3.4787
10/20/2021 17:51:12,3.4786
10/20/2021 17:51:13,3.4786
10/20/2021 17:51:14,3.4788
10/20/2021 17:51:15,3.4789
10/20/2021 17:51:16,3.4786
10/20/2021 17:51:17,3.4782
10/20/2021 17:51:18,3.4776
10/20/2021 17:51:19,3.4772
10/20/2021 17:51:20,3.4772
10/20/2021 17:51:21,3.4775
10/20/2021 17:51:22,3.4782
10/20/2021 17:51:23,3.4794
10/20/2021 17:51:24,3.4803
10/20/2021 17:51:25,3.4798
10/20/2021 17:51:26,3.4785
10/20/2021 17:51:27,3.4765
10/20/2021 17:51:28,3.4754
10/20/2021 17:51:29,3.4738
10/20/2021 17:51:30,3.4728
10/20/2021 17:51:31,3.4719
10/20/2021 17:51:32,3.4714
10/20/2021 17:51:33,3.47
10/20/2021 17:51:34,3.4689
10/20/2021 17:51:35,3.4679
10/20/2021 17:51:36,3.4666
10/20/2021 17:51:37,3.4667
10/20/2021 17:51:38,3.4672
10/20/2021 17:51:39,3.4673
10/20/2021 17:51:40,3.4663
10/20/2021 17:51:41,3.4655
10/20/2021 17:51:42,3.4646
10/20/2021 17:51:43,3.4642
10/20/2021 17:51:44,3.4638
10/20/2021 17:51:45,3.4624
10/20/2021 17:51:46,3.4617
10/20/2021 17:51:47,3.4612
10/20/2021 17:51:48,3.4605
10/20/2021 17:51:49,3.4598
10/20/2021 17:51:50,3.4594
10/20/2021 17:51:51,3.4597
10/20/2021 17:51:52,3.46
10/20/2021 17:51:53,3.4596
10/20/2021 17:51:54,3.4594
10/20/2021 17:51:55,3.4592
10/20/2021 17:51:56,3.459
10/20/2021 17:51:57,3.4592
10/20/2021 17:51:58,3.4594
10/20/2021 17:51:59,3.4591
10/20/2021 17:52:00,3.4586
10/20/2021 17:52:01,3.4583
10/20/2021 17:52:02,3.4583
10/20/2021 17:52:03,3.4579
10/20/2021 17:52:04,3.4576
10/20/2021 17:52:05,3.4578
10/20/2021 17:52:06,3.4582
10/20/2021 17:52:07,3.4581
